2024-03-19 13:40:34 500 GET /favicon.ico HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 5434 3030
2024-03-19 13:40:34 200 GET /signup HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 - 0:0:0:0:0:0:0:1 3633 3887
2024-03-19 13:40:34 404 GET /static/sign_up/sign_up.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 4405 5324
2024-03-19 13:40:34 404 GET /static/sign_up/sign_up.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 4402 4932
2024-03-19 13:40:34 500 GET /favicon.ico HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 5434 3599
2024-03-19 13:40:34 200 GET /signup HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 - 0:0:0:0:0:0:0:1 3633 5014
2024-03-19 13:40:34 404 GET /static/sign_up/sign_up.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 4405 3985
2024-03-19 13:40:34 404 GET /static/sign_up/sign_up.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 4402 3374
2024-03-19 13:40:34 500 GET /favicon.ico HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 5434 3913
2024-03-19 13:40:35 200 GET /signup HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 - 0:0:0:0:0:0:0:1 3633 3067
